num,adm1,suma
0,Kyiv city,5065.0
1,Lviv Oblast,1192.0
2,Kharkiv Oblast,529.0
3,Dnipropetrovsk Oblast,483.0
4,Odessa Oblast,421.0
5,Kyivs'ka oblast,262.0
6,Ivano-Frankivs'ka oblast,247.0
7,Zaporiz'ka oblast,204.0
8,Ternopil's'ka oblast,196.0
9,Donetsk Oblast,187.0
10,Vinnyts'ka oblast,156.0
11,Rivnens'ka oblast,141.0
12,Volyns'ka oblast,157.0
13,Zhytomyrs'ka oblast,134.0
14,Sums'ka oblast,121.0
15,Cherkas'ka oblast,119.0
16,Chernivets'ka oblast,100.0
17,Zakarpats'ka oblast,91.0
18,Khmel'nyts'ka oblast,90.0
19,Mykolaivs'ka oblast,90.0
20,Khersons'ka oblast,79.0
21,Poltavs'ka oblast,60.0
22,Chernihivs'ka oblast,56.0
23,Luhans'ka oblast,52.0
24,Kirovohrads'ka oblast,44.0
25,Crimea,24.0